title,rating,review
Not as sweet as anticipated which was a good thing.,5.0,The visual representation is absolutely stunning. The freshness of the cookie and delicious chocolate toppings were just over the top. Will surely remember them for future gifts.
Great Taste,5.0,Great taste and very fresh.
"Terrible item, don’t waste your money",5.0,Had a slight problem with the initial order but the seller was very responsive and fixed it. Cookies were fresh and delicious!!!
Great customer service,5.0,The product came in melted and damaged from delivery I assume. The company went above and beyond to fix the issue and make sure we came out happy customers. Great for teacher gifts for holidays and any other occasions.
Awesome buy,5.0,"Great price, and also great taste"
Came in quick,4.0," Came in fast! Impressed with the flavor, only issue is that one of the Biscotti's is a lot smaller than the rest. Overall satisfied with the product."
"Excellent customer service, immediate response !",3.0,The size of item is very deceiving even though it states 5 in box. It is not worth $14.99. Extremely happy with company customer service. Immediate response & happy with outcome.
All was smashed in pieces,4.0,The small crushed pieces tasted good
n/a,5.0,"Like the packaging look nice,"
Perfect Gift,5.0,I was looking for a little something to send for an out of town birthday and the biscotti received rave reviews. Thank you so much. I’ll be ordering again!
"small. average flavor, not impressive for price",3.0,glad i bought sampler before ordering the bigger box as gift
Edible Birthday Gift,5.0,My friend enjoyed her birthday gift!
Great idea,5.0,So easy to send and meant a lot to the receiver
Great For Those Who Love Coffee.,4.0,Definitely great for biscotti fans and coffee lovers alike. Flavors were very well balanced and thought out. Would buy again.
"Tasty, interesting barcode",5.0,"Tasty sweet. A little melty, even on a 74F day. Mine arrived decently crisp, would buy again.

Amazon barcode/label is printed on the box so it's under the shrink wrap .... if gifting this box, be aware ""Barnette's gourmet chocolate [...] birthday get well idea"" is printed on the box; more sensitive recipients may be miffed."
"Very stale, no flavor at all. Will not buy these again.",3.0,"People who sell food through the mail need to follow state and federal food shipping rules including proper packaging...this very small box of very stale biscotti arrived simply in a padded envelope, no provision for heat or safety. The cookies were bland, tasteless."
Box was a lot smaller Than what I anticipated,4.0,It’s a gift for my mom for Mother’s Day. Hopefully she will like it but the box is kind of small versus how it looked in the photo I guess I should read more about it -seems kind a little for the price.
Oh my God way too small for the price,5.0,"They were gift but too small taste good
I won’t reorder them too expensive"
